"No.","Time","Source","Destination","Protocol","Length","Info"
"280","16.431081","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=11008 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
"281","16.431081","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=12408 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
"282","16.431149","192.168.43.92","40.126.24.81","TCP","54","3131  >  443 [ACK] Seq=4323 Ack=13808 Win=524800 Len=0"
"283","16.431319","40.126.24.81","192.168.43.92","TCP","1454","443  >  3131 [ACK] Seq=13808 Ack=4323 Win=4194304 Len=1400 [TCP segment of a reassembled PDU]"
"284","16.431361","192.168.43.92","40.126.24.81","TCP","54","3131  >  443 [ACK] Seq=4323 Ack=15208 Win=524800 Len=0"
"285","16.431556","40.126.24.81","192.168.43.92","TLSv1.2","1121","Application Data"
"286","16.431619","192.168.43.92","40.126.24.81","TCP","54","3131  >  443 [ACK] Seq=4323 Ack=16276 Win=523776 Len=0"
"287","16.431975","192.168.43.92","40.126.24.81","TLSv1.2","85","Encrypted Alert"
"288","16.432059","192.168.43.92","40.126.24.81","TCP","54","3131  >  443 [FIN, ACK] Seq=4354 Ack=16276 Win=523776 Len=0"
"289","16.609181","40.126.24.81","192.168.43.92","TCP","54","443  >  3131 [ACK] Seq=16276 Ack=4355 Win=4194304 Len=0"
"290","17.090266","192.168.43.92","40.126.24.149","TCP","66","3139  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"291","17.090668","192.168.43.92","192.168.43.209","DNS","78","Standard query 0x8332 A gameplay.intel.com"
"292","17.091698","192.168.43.92","192.168.43.209","DNS","92","Standard query 0x8f73 A watson.events.data.microsoft.com"
"293","17.188479","192.168.43.92","40.126.24.81","TCP","66","3140  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"294","17.193343","192.168.43.92","192.168.43.209","DNS","78","Standard query 0x8332 A gameplay.intel.com"
"295","17.193343","192.168.43.92","192.168.43.209","DNS","92","Standard query 0x8f73 A watson.events.data.microsoft.com"
"296","17.253455","192.168.43.92","34.117.65.55","TCP","55","4409  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1 [TCP segment of a reassembled PDU]"
"297","17.270664","40.126.24.149","192.168.43.92","TCP","66","443  >  3139 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM"
"298","17.270831","192.168.43.92","40.126.24.149","TCP","54","3139  >  443 [ACK] Seq=1 Ack=1 Win=524800 Len=0"
"299","17.275458","192.168.43.92","40.126.24.149","TLSv1.2","342","Client Hello"
"300","17.309772","192.168.43.209","192.168.43.92","DNS","412","Standard query response 0x8f73 A watson.events.data.microsoft.com CNAME blobcollectorcommon.trafficmanager.net CNAME onedsblobprdwus17.westus.cloudapp.azure.com A 20.189.173.22 NS ns11-02.azure-dns.org NS ns12-02.azure-dns.info NS ns9-02.azure-dns.com NS ns10-02.azure-dns.net A 150.171.10.2 A 150.171.16.2 A 13.107.222.2 A 13.107.206.2"
"301","17.311145","192.168.43.92","20.189.173.22","TCP","74","3141  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM TSval=836597700 TSecr=0"
